Row_ID,DBSCAN_cluster,Is_noise,Kth_neighbor_distance,Component_1,Component_2,y,housing,loan
1,-1,True,1.3473209211413502,0.3910058634807254,-0.14777293983730874,no,yes,no
2,0,False,0.5475882319851063,0.18436068611659748,-0.2299008555423772,no,yes,no
3,0,False,0.5648441050910618,0.5921148021033767,-0.23859694116245272,no,yes,yes
4,0,False,0.8389877335094466,0.0037027973595230405,-0.2333948993855325,no,yes,no
5,0,False,0.9260696936816126,-0.9724076811807,-0.2373413039227177,no,no,no
6,0,False,0.6906673522800544,0.45669403185785273,-0.211916285105978,no,yes,no
7,0,False,0.8449318796906068,-0.17809090604577768,-0.15337969480257949,no,yes,yes
8,-1,True,1.7617342943476753,-2.503119220569127,-0.27782001424584124,no,yes,no
9,0,False,0.7730066786112363,-0.10658421161959776,-0.34989331515440025,no,yes,no
10,0,False,0.5995031900164709,0.1781279190436464,-0.23397520276778924,no,yes,no
11,0,False,0.6236161705448363,-0.20941795956293327,-0.2109298184224926,no,yes,no
12,0,False,0.5821485175778454,0.09562121984511703,-0.1727542426422528,no,yes,no
13,0,False,0.8064199716859861,0.8045411985510756,-0.13632764343013454,no,yes,no
14,0,False,0.7028889679248465,-0.0716108620296327,-0.3386752200163913,no,yes,no
15,0,False,0.5364901109840499,0.6623042722492912,-0.25885061949051646,no,yes,no
16,0,False,0.7227572769481408,-0.10479250132690192,-0.22430666264338134,no,yes,no
17,0,False,0.7266516654844557,-0.7959851640434282,-0.2885646157949868,no,yes,no
18,0,False,0.8388023277767881,0.20344900174945868,-0.34413731689993005,no,yes,no
19,0,False,0.7737061433820541,-0.1115698245652671,-0.30143148320990854,no,yes,no
20,0,False,0.5435821922549258,0.6999547956723141,-0.24082419487891754,no,yes,no
21,0,False,0.7523954739652039,0.9162906131747585,-0.11767339633569698,no,yes,yes
22,0,False,0.989159196964604,0.41849350896480947,-0.23623038761158321,no,yes,no
23,0,False,0.7093638247525904,-0.4036370422553266,-0.23270558582686068,no,yes,yes
24,0,False,0.7080530321749152,0.7043698447516068,-0.12014649341109475,no,yes,no
25,0,False,0.5840190475305298,-0.08266049596777816,-0.26224332423804086,no,yes,yes
26,0,False,0.6336147307499778,0.726498897882561,-0.23982665484095814,no,yes,no
27,0,False,0.8383074674412335,-0.19134856540246206,-0.16557783462387543,no,yes,no
28,0,False,0.5577881144017177,0.5634547731170904,-0.26839875136068087,no,yes,yes
29,0,False,0.8822424242596949,0.25735196680471034,-0.25745941005175677,no,yes,no
30,0,False,0.631338315017247,0.1874284986880511,-0.1313662107040254,no,yes,yes
31,0,False,0.7199563128859156,0.7908239688798817,-0.20767655407493324,no,no,yes
32,0,False,0.8060701675087164,0.4334413751044986,-0.21302676792714353,no,yes,no
33,0,False,0.6903540900322386,0.6971728897552043,-0.2529607004078596,no,yes,yes
34,0,False,0.743675064826474,0.8870187673000236,-0.2469659300691627,no,yes,no
35,-1,True,1.3960782375817373,0.3769248392577816,-0.04413411221324506,no,yes,no
36,0,False,0.7779933476294304,-0.12473691341631121,-0.26186447687273323,no,yes,no
37,0,False,0.8256675344922042,0.930604189592489,-0.10779716101552916,no,yes,no
38,0,False,0.860181154340445,0.8022372920110337,-0.09448130337743715,no,no,no
39,0,False,0.8648275515779686,-0.2135028612260635,-0.06760790962263234,no,yes,no
40,0,False,0.5189492400860095,0.09129861352036255,-0.2121606558784187,no,yes,no
41,0,False,1.080181635234843,-0.28867804692004334,-0.14389132889117692,no,yes,no
42,0,False,0.887891921779858,0.8875806363740474,-0.2837952011426205,no,yes,no
43,0,False,0.868511036158553,0.010930022338960364,-0.3554822919534254,no,yes,no
44,0,False,0.9060222863917817,0.5695269436717858,-0.07981976981608106,no,yes,no
45,0,False,1.092779454128546,-0.3050763524460725,-0.16134800549491737,no,yes,no
46,0,False,0.803196249443295,-0.5955969595431194,-0.22384949988575983,no,yes,no
47,0,False,1.1433357238865682,0.12421553539200057,-0.24533705304129866,no,yes,no
48,0,False,0.5566419022440284,0.8338179076862013,-0.2629249304401417,no,yes,no
49,0,False,0.6906257751414903,-0.119366200643976,-0.2867339456825878,no,no,no
50,0,False,0.9941276075788419,-0.17479501127159897,-0.12727273367098046,no,yes,no
51,0,False,0.9395596164074034,0.8713731194423046,-0.16178701720772715,no,yes,no
52,0,False,0.9893673624370116,-0.4834616825410717,-0.25553961072277226,no,yes,no
53,0,False,0.8143634780518916,0.46386416837044514,-0.20070576083046773,no,yes,no
54,0,False,0.7905808540320876,0.0759244215953889,-0.059562853055400475,no,yes,no
