Row_ID,Kth_neighbor_distance,age,job,marital,education,default,balance,contact,day,month,duration,campaign,pdays,previous,poutcome,y,housing,loan
29183,122.19248258052771,40.0,management,married,tertiary,no,543,cellular,2,feb,349,2,262,275,other,no,yes,no
38327,14.81190203960175,46.0,blue-collar,married,primary,no,1085,cellular,15,may,523,2,353,58,other,yes,yes,yes
44090,12.482453118963399,37.0,technician,married,secondary,no,432,cellular,6,jul,386,3,776,55,failure,yes,yes,no
28887,11.969393312070338,31.0,management,single,tertiary,no,358,cellular,30,jan,68,3,256,51,failure,no,yes,no
4331,9.66246742145207,45.0,management,married,unknown,no,3462,unknown,19,may,124,63,-1,0,unknown,no,yes,no
11915,8.08321977706067,24.0,technician,single,primary,no,126,unknown,20,jun,10,58,-1,0,unknown,no,yes,no
44823,8.05943962140422,27.0,blue-collar,married,secondary,no,821,unknown,16,sep,23,1,778,41,other,no,yes,yes
5074,7.93808735155536,35.0,technician,married,secondary,no,432,unknown,21,may,643,55,-1,0,unknown,no,yes,no
42612,7.454764955072205,35.0,technician,single,secondary,no,3462,cellular,11,jan,502,3,270,40,other,no,yes,no
42423,7.072775401515721,27.0,student,single,secondary,no,91,telephone,4,dec,157,6,95,37,other,no,no,no
26669,6.995700331242026,51.0,entrepreneur,married,secondary,no,653,cellular,20,nov,16,9,112,37,other,no,yes,no
37568,6.9777291284986855,39.0,management,married,tertiary,no,0,cellular,14,may,11,15,261,38,failure,no,yes,no
28499,6.57856021710241,49.0,management,single,tertiary,no,145,cellular,29,jan,57,2,248,38,failure,no,yes,no
44485,6.4737255452877545,28.0,management,single,tertiary,no,3462,telephone,9,aug,361,1,46,35,failure,no,no,no
4300,6.0537951111247486,30.0,management,single,tertiary,no,358,unknown,19,may,88,51,-1,0,unknown,no,yes,no
5460,5.725250163426701,35.0,blue-collar,married,secondary,no,430,unknown,23,may,147,50,-1,0,unknown,no,yes,no
18714,5.509986297581576,35.0,blue-collar,married,secondary,no,280,cellular,31,jul,65,50,-1,0,unknown,no,yes,yes
43980,5.184833683639138,27.0,management,single,tertiary,no,3462,cellular,24,jun,136,5,94,30,failure,no,no,no
30325,4.964967997821625,26.0,entrepreneur,single,tertiary,no,725,cellular,5,feb,643,2,189,29,other,yes,no,no
43343,4.831220228917112,27.0,management,single,tertiary,no,3462,telephone,22,mar,174,2,229,28,success,no,no,no
35567,4.7952328350177105,45.0,services,divorced,secondary,no,608,cellular,7,may,643,3,323,30,failure,yes,yes,yes
10698,4.773669262595127,28.0,blue-collar,single,secondary,no,235,unknown,16,jun,102,46,-1,0,unknown,no,yes,no
44595,4.654826825589858,34.0,technician,single,tertiary,no,2481,cellular,23,aug,220,16,192,14,other,no,no,no
39142,4.613295618222532,44.0,admin.,married,secondary,no,429,cellular,18,may,35,3,349,32,failure,no,yes,yes
38173,4.596704465108485,33.0,management,single,tertiary,no,3462,cellular,15,may,21,8,331,29,failure,no,yes,no
40644,4.544226873178941,27.0,management,single,tertiary,no,3462,cellular,5,aug,179,2,69,26,other,yes,no,no
28652,4.523229991360229,31.0,blue-collar,single,primary,no,3462,telephone,29,jan,267,3,183,25,other,no,yes,no
39926,4.520303054830794,28.0,technician,single,tertiary,no,3462,cellular,2,jun,643,2,113,21,success,yes,no,no
36121,4.510428796636585,55.0,management,married,tertiary,no,719,telephone,11,may,221,6,284,29,other,no,yes,no
13676,4.414763171223287,51.0,blue-collar,married,unknown,no,41,telephone,9,jul,16,43,-1,0,unknown,no,yes,no
44925,4.363815145092476,35.0,blue-collar,married,secondary,no,137,unknown,4,oct,5,1,808,12,failure,no,no,yes
41381,4.355330117690968,43.0,unemployed,married,unknown,no,970,telephone,1,sep,513,13,288,11,failure,no,yes,no
28585,4.339672970225648,31.0,technician,married,tertiary,no,702,cellular,29,jan,157,3,182,29,failure,no,no,yes
4276,4.252673955635669,40.0,blue-collar,married,secondary,no,-365,unknown,19,may,44,43,-1,0,unknown,no,yes,no
28192,4.241356988282226,30.0,management,single,tertiary,no,1422,cellular,29,jan,305,1,223,27,failure,no,yes,yes
3332,4.205278832598641,50.0,entrepreneur,married,primary,no,461,unknown,15,may,643,32,-1,0,unknown,yes,yes,no
44833,4.193273707076884,28.0,admin.,married,secondary,no,242,unknown,17,sep,47,1,779,12,failure,no,yes,no
30598,4.185894669064162,56.0,admin.,married,secondary,no,1554,cellular,6,feb,15,6,190,27,other,no,yes,yes
8545,4.17442834248921,34.0,management,single,tertiary,no,340,unknown,3,jun,633,28,-1,0,unknown,no,yes,no
44439,4.1389816383358635,53.0,management,married,tertiary,no,3462,cellular,5,aug,224,1,86,23,other,no,no,no
36713,4.086435236144292,39.0,blue-collar,married,primary,no,467,cellular,12,may,7,5,285,30,other,no,yes,no
44530,4.005297358947713,70.5,retired,married,primary,no,2590,telephone,12,aug,345,1,178,20,failure,yes,no,no
44975,3.9848501253836424,39.0,management,married,tertiary,no,839,cellular,11,oct,365,2,774,11,failure,no,no,yes
43918,3.962330752023618,30.0,unemployed,single,tertiary,no,3462,telephone,14,jun,215,1,459,17,other,no,no,no
38576,3.9607196357499466,40.0,management,married,tertiary,no,-1212,cellular,15,may,643,2,333,18,failure,no,yes,no
27640,3.957497679594876,34.0,management,married,tertiary,no,714,cellular,21,nov,328,4,113,27,failure,no,yes,no
11302,3.89963901712948,28.0,blue-collar,single,secondary,no,623,unknown,18,jun,25,41,-1,0,unknown,no,no,no
28387,3.889735320618328,40.0,technician,single,secondary,yes,45,cellular,29,jan,261,1,182,23,other,no,no,yes
18745,3.8731143292143093,49.0,blue-collar,married,primary,no,371,cellular,31,jul,18,44,-1,0,unknown,no,yes,no
26658,3.8557178621261974,39.0,management,divorced,tertiary,no,155,cellular,20,nov,20,6,153,26,failure,no,yes,no
26940,3.809616995172635,47.0,technician,married,tertiary,yes,-813,cellular,21,nov,85,2,158,25,failure,no,yes,yes
18661,3.8001842632998084,33.0,blue-collar,married,secondary,no,0,cellular,31,jul,16,43,-1,0,unknown,no,yes,yes
28592,3.7682027116022194,32.0,blue-collar,married,primary,no,2291,cellular,29,jan,489,3,182,24,other,no,yes,yes
30493,3.7580679443546416,31.0,management,married,unknown,no,68,cellular,5,feb,425,2,189,27,other,no,yes,no
4335,3.7483788436303365,42.0,blue-collar,married,primary,no,170,unknown,19,may,51,41,-1,0,unknown,no,yes,no
41038,3.727334746133171,67.0,retired,married,primary,no,3462,telephone,14,aug,176,2,99,17,other,no,no,no
28849,3.7266070694757736,28.0,blue-collar,single,secondary,no,1285,telephone,30,jan,199,2,2,17,other,no,no,no
38852,3.721231908882992,43.0,blue-collar,married,primary,no,714,cellular,18,may,16,6,362,28,failure,no,yes,no
38803,3.720598266528375,35.0,blue-collar,married,secondary,no,305,cellular,18,may,7,7,367,25,failure,no,yes,no
44368,3.714695044808339,34.0,management,single,tertiary,no,275,cellular,2,aug,196,2,455,23,other,yes,no,no
44739,3.702308776932354,70.5,retired,married,secondary,no,3462,telephone,8,sep,606,3,91,13,success,yes,no,no
17874,3.680307710033541,46.0,housemaid,married,secondary,no,271,cellular,30,jul,643,29,-1,0,unknown,yes,yes,no
30034,3.674202530708676,49.0,technician,married,tertiary,no,196,cellular,4,feb,9,7,163,24,other,no,no,no
37131,3.6733116147061793,38.0,services,single,primary,no,3462,telephone,13,may,41,2,327,17,failure,no,yes,no
33313,3.6612288381173044,55.0,management,divorced,tertiary,no,3462,cellular,20,apr,378,1,287,19,failure,no,yes,yes
36835,3.656523058160327,37.0,admin.,single,primary,no,912,cellular,12,may,637,3,328,22,other,yes,yes,no
18514,3.651056310712132,57.0,retired,married,primary,no,3462,cellular,31,jul,51,36,-1,0,unknown,no,no,no
38069,3.6314449059162848,35.0,blue-collar,married,secondary,no,667,cellular,14,may,10,5,324,27,other,no,yes,no
45057,3.611954732988952,64.0,management,married,tertiary,no,3462,telephone,19,oct,643,7,137,11,other,yes,no,no
4016,3.5948288763977074,34.0,blue-collar,married,secondary,no,305,unknown,16,may,643,25,-1,0,unknown,no,yes,no
44961,3.5812361488986193,58.0,admin.,divorced,secondary,no,3337,telephone,8,oct,369,2,690,3,failure,yes,yes,no
17740,3.5753609264753496,45.0,unknown,married,unknown,no,3462,telephone,29,jul,77,35,-1,0,unknown,no,no,no
44681,3.5608465054083522,27.0,self-employed,single,tertiary,no,560,telephone,3,sep,543,9,465,2,failure,no,no,no
33348,3.54779092073284,36.0,blue-collar,married,primary,no,3462,cellular,20,apr,15,6,152,21,other,no,yes,no
9965,3.5454670922341927,26.0,blue-collar,single,primary,no,535,unknown,9,jun,21,37,-1,0,unknown,no,yes,no
44968,3.5405408536172023,70.0,retired,divorced,secondary,no,3462,cellular,11,oct,115,2,95,16,failure,no,no,no
43894,3.5353903624780982,70.5,retired,married,secondary,no,3462,telephone,9,jun,643,1,64,12,failure,yes,no,no
44895,3.534154041510037,70.5,retired,married,primary,no,3462,cellular,27,sep,132,4,94,16,other,no,no,no
44838,3.5270736814663444,35.0,management,single,tertiary,no,151,unknown,20,sep,11,1,850,2,failure,no,no,no
38574,3.5241285991908544,32.0,blue-collar,divorced,secondary,no,201,cellular,15,may,63,8,365,24,other,no,yes,no
24625,3.512411165432447,57.0,technician,married,secondary,no,1158,unknown,17,nov,204,2,109,21,other,no,no,no
11885,3.4998987818815923,50.0,blue-collar,divorced,unknown,no,2812,unknown,20,jun,17,37,-1,0,unknown,no,yes,no
