Component,Rank,Encoded_feature,Loading,Absolute_loading
1,1,categorical__default_no,0.5302022103913793,0.5302022103913793
1,2,categorical__poutcome_unknown,0.4660103368599495,0.4660103368599495
1,3,categorical__contact_cellular,0.35090849540193847,0.35090849540193847
1,4,categorical__marital_married,0.3388307649136803,0.3388307649136803
1,5,categorical__education_secondary,0.28745960724055136,0.28745960724055136
1,6,categorical__month_may,0.16629366583684502,0.16629366583684502
1,7,categorical__contact_unknown,0.15763157836291783,0.15763157836291783
1,8,categorical__education_tertiary,0.15369824700498094,0.15369824700498094
1,9,categorical__marital_single,0.14352456687537973,0.14352456687537973
1,10,categorical__job_blue-collar,0.1189721093936815,0.1189721093936815
2,1,numeric__pdays,0.6582129539452984,0.6582129539452984
2,2,numeric__previous,0.5904843205351135,0.5904843205351135
2,3,numeric__campaign,-0.2110678401785878,0.2110678401785878
2,4,numeric__day,-0.2031384027876984,0.2031384027876984
2,5,categorical__poutcome_unknown,-0.1770181963808326,0.1770181963808326
2,6,categorical__contact_cellular,0.164252486754918,0.164252486754918
2,7,categorical__poutcome_failure,0.16410470290121404,0.16410470290121404
2,8,categorical__default_no,0.09305987660862845,0.09305987660862845
2,9,categorical__contact_unknown,-0.07804959257125112,0.07804959257125112
2,10,numeric__duration,0.07619573628866584,0.07619573628866584
3,1,numeric__age,0.685847533065301,0.685847533065301
3,2,numeric__balance,0.5268126874601542,0.5268126874601542
3,3,numeric__campaign,-0.26879551782147615,0.26879551782147615
3,4,numeric__duration,0.22841304869310655,0.22841304869310655
3,5,numeric__day,-0.20984958906570092,0.20984958906570092
3,6,categorical__marital_single,-0.16128760561620922,0.16128760561620922
3,7,categorical__marital_married,0.13539420875010535,0.13539420875010535
3,8,numeric__pdays,-0.0975512592459426,0.0975512592459426
3,9,numeric__previous,-0.07540937133192419,0.07540937133192419
3,10,categorical__job_retired,0.07017784694864995,0.07017784694864995
4,1,numeric__campaign,0.5666453656325227,0.5666453656325227
4,2,numeric__day,0.4696841686063245,0.4696841686063245
4,3,numeric__duration,-0.4289146518011523,0.4289146518011523
4,4,numeric__age,0.356681855238789,0.356681855238789
4,5,numeric__previous,0.22478090068995413,0.22478090068995413
4,6,numeric__balance,0.18881931177507372,0.18881931177507372
4,7,numeric__pdays,0.13909983588810312,0.13909983588810312
4,8,categorical__marital_married,0.09813941782130087,0.09813941782130087
4,9,categorical__marital_single,-0.09199894916175634,0.09199894916175634
4,10,categorical__month_may,-0.06168125638391873,0.06168125638391873
5,1,numeric__duration,0.602613675534356,0.602613675534356
5,2,numeric__day,0.5534219431989249,0.5534219431989249
5,3,numeric__balance,0.4388491648598983,0.4388491648598983
5,4,numeric__age,-0.3014908812522362,0.3014908812522362
5,5,categorical__marital_single,0.09882169264933258,0.09882169264933258
5,6,categorical__marital_married,-0.08101451962897158,0.08101451962897158
5,7,categorical__contact_cellular,0.07211051600716947,0.07211051600716947
5,8,categorical__education_tertiary,0.06654070754790005,0.06654070754790005
5,9,categorical__contact_unknown,-0.06251612817063776,0.06251612817063776
5,10,categorical__month_jun,-0.054137351728303425,0.054137351728303425
6,1,numeric__balance,0.6645460102565569,0.6645460102565569
6,2,numeric__duration,-0.5220083087215822,0.5220083087215822
6,3,numeric__age,-0.4054920064609059,0.4054920064609059
6,4,numeric__day,-0.22853158115533617,0.22853158115533617
6,5,categorical__marital_single,0.1335667776566588,0.1335667776566588
6,6,categorical__marital_married,-0.0998191164571263,0.0998191164571263
6,7,categorical__education_tertiary,0.08794915721418525,0.08794915721418525
6,8,numeric__campaign,-0.08516939966564074,0.08516939966564074
6,9,numeric__previous,-0.08046732040256399,0.08046732040256399
6,10,numeric__pdays,-0.05998714164264553,0.05998714164264553
7,1,numeric__campaign,0.7306800369498561,0.7306800369498561
7,2,numeric__day,-0.5555007268246337,0.5555007268246337
7,3,numeric__duration,0.34595458957787867,0.34595458957787867
7,4,numeric__balance,0.11242149609879382,0.11242149609879382
7,5,numeric__age,-0.08202272817302983,0.08202272817302983
7,6,categorical__month_jun,0.06279249552499559,0.06279249552499559
7,7,numeric__previous,0.06039620593362006,0.06039620593362006
7,8,categorical__month_nov,-0.04132158914506026,0.04132158914506026
7,9,categorical__month_jan,-0.04026173378266365,0.04026173378266365
7,10,categorical__month_feb,0.03969841432332725,0.03969841432332725
8,1,numeric__previous,0.7504737838919141,0.7504737838919141
8,2,numeric__pdays,-0.5535764841047383,0.5535764841047383
8,3,categorical__contact_cellular,-0.20591994999606894,0.20591994999606894
8,4,categorical__contact_unknown,0.18626581177264664,0.18626581177264664
8,5,categorical__poutcome_unknown,0.12847434460929966,0.12847434460929966
8,6,categorical__poutcome_failure,-0.1267845362733496,0.1267845362733496
8,7,numeric__campaign,-0.09022873240908226,0.09022873240908226
8,8,categorical__month_jun,0.0633545011920462,0.0633545011920462
8,9,categorical__month_may,0.04843369482962799,0.04843369482962799
8,10,categorical__month_apr,-0.03744589553194452,0.03744589553194452
9,1,categorical__education_tertiary,0.4084017050252666,0.4084017050252666
9,2,categorical__contact_cellular,0.4002730895307911,0.4002730895307911
9,3,categorical__contact_unknown,-0.3838406443103174,0.3838406443103174
9,4,categorical__education_secondary,-0.3523610226019225,0.3523610226019225
9,5,categorical__month_may,-0.32968257895287495,0.32968257895287495
9,6,categorical__job_management,0.28885435991724767,0.28885435991724767
9,7,categorical__job_blue-collar,-0.2145542325785846,0.2145542325785846
9,8,numeric__pdays,-0.2080863057391184,0.2080863057391184
9,9,categorical__month_aug,0.16343913296741283,0.16343913296741283
9,10,numeric__balance,-0.15768463523848525,0.15768463523848525
10,1,categorical__education_secondary,0.5126254693612531,0.5126254693612531
10,2,categorical__education_tertiary,-0.42902847642589687,0.42902847642589687
10,3,categorical__contact_unknown,-0.3628274525847928,0.3628274525847928
10,4,categorical__job_management,-0.32284109498884467,0.32284109498884467
10,5,categorical__contact_cellular,0.30280251628380733,0.30280251628380733
10,6,categorical__month_may,-0.29564394699730906,0.29564394699730906
10,7,numeric__pdays,-0.17766067692507995,0.17766067692507995
10,8,categorical__month_jul,0.13104155205060677,0.13104155205060677
10,9,categorical__education_primary,-0.13018249507084176,0.13018249507084176
10,10,categorical__job_technician,0.12973109849318504,0.12973109849318504
