variable,direction,source_csv_line,value,lower_fence,upper_fence,job,y
age,high,33701,95,10.5,70.5,retired,yes
age,high,41665,95,10.5,70.5,retired,no
age,high,31235,94,10.5,70.5,retired,no
age,high,44264,93,10.5,70.5,retired,yes
age,high,44422,93,10.5,70.5,retired,yes
balance,low,12911,-8019,-1962.0,3462.0,blue-collar,no
balance,low,15684,-6847,-1962.0,3462.0,management,no
balance,low,38738,-4057,-1962.0,3462.0,management,no
balance,low,7415,-3372,-1962.0,3462.0,management,no
balance,low,1898,-3313,-1962.0,3462.0,self-employed,no
balance,high,39991,102127,-1962.0,3462.0,management,no
balance,high,26229,98417,-1962.0,3462.0,management,no
balance,high,42560,81204,-1962.0,3462.0,retired,yes
balance,high,43395,81204,-1962.0,3462.0,retired,yes
balance,high,41695,71188,-1962.0,3462.0,retired,no
duration,high,24150,4918,-221.0,643.0,technician,no
duration,high,9949,3881,-221.0,643.0,management,yes
duration,high,44604,3785,-221.0,643.0,services,no
duration,high,19641,3422,-221.0,643.0,blue-collar,no
duration,high,2388,3366,-221.0,643.0,blue-collar,no
