variable,date,Name,value,iqr_lower,iqr_upper,distance_to_bound
open,2017-08-08,PCLN,2044.0,-41.00500000000001,175.59500000000003,1868.405
open,2017-08-01,PCLN,2040.09,-41.00500000000001,175.59500000000003,1864.495
open,2017-07-27,PCLN,2040.05,-41.00500000000001,175.59500000000003,1864.455
open,2017-08-07,PCLN,2034.73,-41.00500000000001,175.59500000000003,1859.135
open,2017-08-04,PCLN,2031.02,-41.00500000000001,175.59500000000003,1855.425
open,2017-07-31,PCLN,2030.0,-41.00500000000001,175.59500000000003,1854.405
open,2017-07-28,PCLN,2026.47,-41.00500000000001,175.59500000000003,1850.875
open,2017-08-02,PCLN,2023.45,-41.00500000000001,175.59500000000003,1847.855
open,2017-08-03,PCLN,2020.97,-41.00500000000001,175.59500000000003,1845.375
open,2017-07-26,PCLN,2019.24,-41.00500000000001,175.59500000000003,1843.645
high,2017-08-08,PCLN,2067.99,-41.22000000000002,177.02000000000004,1890.9699999999998
high,2017-08-07,PCLN,2044.51,-41.22000000000002,177.02000000000004,1867.49
high,2017-07-27,PCLN,2043.95,-41.22000000000002,177.02000000000004,1866.93
high,2017-08-01,PCLN,2041.49,-41.22000000000002,177.02000000000004,1864.47
high,2017-07-28,PCLN,2040.63,-41.22000000000002,177.02000000000004,1863.6100000000001
high,2017-07-26,PCLN,2037.0,-41.22000000000002,177.02000000000004,1859.98
high,2017-08-04,PCLN,2035.47,-41.22000000000002,177.02000000000004,1858.45
high,2017-07-31,PCLN,2033.0,-41.22000000000002,177.02000000000004,1855.98
high,2017-08-03,PCLN,2030.0,-41.22000000000002,177.02000000000004,1852.98
high,2017-08-02,PCLN,2025.5,-41.22000000000002,177.02000000000004,1848.48
low,2017-08-08,PCLN,2035.11,-40.735000000000014,174.10500000000002,1861.0049999999999
low,2017-08-07,PCLN,2022.0,-40.735000000000014,174.10500000000002,1847.895
low,2017-08-04,PCLN,2020.29,-40.735000000000014,174.10500000000002,1846.185
low,2017-07-26,PCLN,2017.56,-40.735000000000014,174.10500000000002,1843.455
low,2017-08-01,PCLN,2017.01,-40.735000000000014,174.10500000000002,1842.905
low,2017-08-03,PCLN,2012.55,-40.735000000000014,174.10500000000002,1838.445
low,2017-07-31,PCLN,2010.24,-40.735000000000014,174.10500000000002,1836.135
low,2017-07-28,PCLN,2007.97,-40.735000000000014,174.10500000000002,1833.865
low,2017-08-02,PCLN,2000.0,-40.735000000000014,174.10500000000002,1825.895
low,2017-07-27,PCLN,1996.0,-40.735000000000014,174.10500000000002,1821.895
close,2017-08-08,PCLN,2049.0,-41.002500000000005,175.6575,1873.3425
close,2017-08-07,PCLN,2042.64,-41.002500000000005,175.6575,1866.9825
close,2017-07-26,PCLN,2033.21,-41.002500000000005,175.6575,1857.5525
close,2017-08-04,PCLN,2032.77,-41.002500000000005,175.6575,1857.1125
close,2017-07-31,PCLN,2028.5,-41.002500000000005,175.6575,1852.8425
close,2017-08-03,PCLN,2027.98,-41.002500000000005,175.6575,1852.3225
close,2017-07-27,PCLN,2025.09,-41.002500000000005,175.6575,1849.4325
close,2017-08-01,PCLN,2024.59,-41.002500000000005,175.6575,1848.9325
close,2017-07-28,PCLN,2024.06,-41.002500000000005,175.6575,1848.4025
close,2017-08-02,PCLN,2021.37,-41.002500000000005,175.6575,1845.7124999999999
volume,2014-02-24,VZ,618237630.0,-3750962.625,9105792.375,609131837.625
volume,2015-11-17,GE,431332632.0,-3750962.625,9105792.375,422226839.625
volume,2016-02-11,BAC,375088650.0,-3750962.625,9105792.375,365982857.625
volume,2013-07-25,FB,365380568.0,-3750962.625,9105792.375,356274775.625
volume,2015-04-10,GE,352701949.0,-3750962.625,9105792.375,343596156.625
volume,2014-04-28,BAC,344935158.0,-3750962.625,9105792.375,335829365.625
volume,2013-04-17,BAC,335205627.0,-3750962.625,9105792.375,326099834.625
volume,2014-01-15,BAC,330005943.0,-3750962.625,9105792.375,320900150.625
volume,2016-11-14,BAC,320959885.0,-3750962.625,9105792.375,311854092.625
volume,2016-11-09,BAC,319516881.0,-3750962.625,9105792.375,310411088.625
