fold,train_target_start,train_target_end,validation_target_start,validation_target_end,model,evaluation_set,train_rows,evaluation_rows,mae,rmse,r2,mape_percent,fit_seconds,predict_seconds
1,2013-02-11,2013-10-11,2013-10-14,2014-06-12,Naive_Close_t,cv_fold_1,81416,80723,0.7249275832166793,1.7156053385781616,0.9995159128574912,0.9739134797847669,0.0,0.0
1,2013-02-11,2013-10-11,2013-10-14,2014-06-12,LinearRegression,cv_fold_1,81416,80723,0.7333502018161546,1.728950594068709,0.99950835238559,0.9846886690027102,0.18977820000145584,0.08200220001162961
1,2013-02-11,2013-10-11,2013-10-14,2014-06-12,RandomForestRegressor,cv_fold_1,81416,80723,1.4595277960133541,9.961910394839224,0.9836779752568895,1.1242200671831621,2.147319800045807,0.146938800055068
2,2013-02-11,2014-06-12,2014-06-13,2015-02-10,Naive_Close_t,cv_fold_2,162139,81410,0.8142447844245179,1.754305934340173,0.9995587836572515,1.0339756130452733,0.0,0.0
2,2013-02-11,2014-06-12,2014-06-13,2015-02-10,LinearRegression,cv_fold_2,162139,81410,0.8176139639292892,1.7558883243873158,0.9995579873409255,1.040328176840573,0.3766266999882646,0.07848310004919767
2,2013-02-11,2014-06-12,2014-06-13,2015-02-10,RandomForestRegressor,cv_fold_2,162139,81410,0.8680491734538617,1.9618955083931866,0.9994481860551898,1.0760700843999866,3.5966393999988213,0.1498526999494061
3,2013-02-11,2015-02-10,2015-02-11,2015-10-08,Naive_Close_t,cv_fold_3,243549,81835,0.922425660169854,2.030167163648765,0.9995092052351193,1.1252946821538334,0.0,0.0
3,2013-02-11,2015-02-10,2015-02-11,2015-10-08,LinearRegression,cv_fold_3,243549,81835,0.9255643088657242,2.029211156410455,0.9995096673575317,1.1301779698811663,0.5353876000153832,0.07163219997892156
3,2013-02-11,2015-02-10,2015-02-11,2015-10-08,RandomForestRegressor,cv_fold_3,243549,81835,0.964934463399744,2.1448818283509277,0.9994521734665325,1.1864508155786475,5.3439302000333555,0.24070820002816617
4,2013-02-11,2015-10-08,2015-10-09,2016-06-08,Naive_Close_t,cv_fold_4,325384,82770,1.02256385888607,2.291184223919565,0.9994435178178335,1.335039389863164,0.0,0.0
4,2013-02-11,2015-10-08,2015-10-09,2016-06-08,LinearRegression,cv_fold_4,325384,82770,1.0275165101849404,2.295500641855039,0.999441419102026,1.3455205819720477,0.7274241999839433,0.06479490001220256
4,2013-02-11,2015-10-08,2015-10-09,2016-06-08,RandomForestRegressor,cv_fold_4,325384,82770,1.0914489283922324,2.727498677140571,0.9992113935223955,1.3729809557882073,7.966073299990967,0.15941830002702773
5,2013-02-11,2016-06-08,2016-06-09,2017-02-06,Naive_Close_t,cv_fold_5,408154,83213,0.8781762537103577,1.9403120357375574,0.999657174984813,1.0715909036697695,0.0,0.0
5,2013-02-11,2016-06-08,2016-06-09,2017-02-06,LinearRegression,cv_fold_5,408154,83213,0.881089899326877,1.9432472046354288,0.9996561369967004,1.074431154743525,1.0875330999842845,0.06139800004893914
5,2013-02-11,2016-06-08,2016-06-09,2017-02-06,RandomForestRegressor,cv_fold_5,408154,83213,0.9880183920334291,3.5351535748644234,0.9988619904169956,1.1072671712118993,9.690692399977706,0.15613980003399774
