variable,class_number,interval,lower_bound,upper_bound,midpoint,frequency,relative_frequency_percent,cumulative_frequency,cumulative_percent
open,1,"(55.423, 65.753]",55.423,65.753,60.588,115,9.134233518665608,115,9.134233518665608
open,2,"(65.753, 76.082]",65.753,76.082,70.91749999999999,127,10.087370929308975,242,19.221604447974585
open,3,"(76.082, 86.411]",76.082,86.411,81.2465,81,6.433677521842732,323,25.655281969817317
open,4,"(86.411, 96.739]",86.411,96.739,91.575,108,8.578236695790311,431,34.233518665607626
open,5,"(96.739, 107.068]",96.739,107.068,101.90350000000001,154,12.231930103256552,585,46.46544876886418
open,6,"(107.068, 117.397]",107.068,117.397,112.2325,241,19.142176330420966,826,65.60762509928514
open,7,"(117.397, 127.726]",117.397,127.726,122.5615,129,10.246227164416204,955,75.85385226370136
open,8,"(127.726, 138.055]",127.726,138.055,132.8905,67,5.321683876092136,1022,81.1755361397935
open,9,"(138.055, 148.384]",138.055,148.384,143.21949999999998,70,5.559968228752978,1092,86.73550436854647
open,10,"(148.384, 158.712]",148.384,158.712,153.548,71,5.639396346306593,1163,92.37490071485307
open,11,"(158.712, 169.041]",158.712,169.041,163.8765,39,3.0976965845909454,1202,95.47259729944402
open,12,"(169.041, 179.37]",169.041,179.37,174.2055,57,4.527402700555997,1259,100.00000000000001
high,1,"(57.085, 67.337]",57.085,67.337,62.211,125,9.928514694201747,125,9.928514694201747
high,2,"(67.337, 77.588]",67.337,77.588,72.4625,133,10.563939634630659,258,20.492454328832405
high,3,"(77.588, 87.839]",77.588,87.839,82.7135,67,5.321683876092136,325,25.81413820492454
high,4,"(87.839, 98.09]",87.839,98.09,92.9645,117,9.293089753772836,442,35.10722795869738
high,5,"(98.09, 108.342]",98.09,108.342,103.21600000000001,151,11.99364575059571,593,47.10087370929309
high,6,"(108.342, 118.593]",108.342,118.593,113.4675,237,18.824463860206514,830,65.9253375694996
high,7,"(118.593, 128.844]",118.593,128.844,123.7185,125,9.928514694201747,955,75.85385226370136
high,8,"(128.844, 139.095]",128.844,139.095,133.96949999999998,67,5.321683876092136,1022,81.1755361397935
high,9,"(139.095, 149.346]",139.095,149.346,144.22050000000002,70,5.559968228752978,1092,86.73550436854647
high,10,"(149.346, 159.598]",149.346,159.598,154.472,67,5.321683876092136,1159,92.05718824463861
high,11,"(159.598, 169.849]",159.598,169.849,164.7235,41,3.2565528196981735,1200,95.31374106433678
high,12,"(169.849, 180.1]",169.849,180.1,174.97449999999998,59,4.686258935663225,1259,100.0
low,1,"(55.013000000000005, 65.284]",55.013000000000005,65.284,60.148500000000006,118,9.37251787132645,118,9.37251787132645
low,2,"(65.284, 75.554]",65.284,75.554,70.41900000000001,123,9.76965845909452,241,19.14217633042097
low,3,"(75.554, 85.823]",75.554,85.823,80.6885,81,6.433677521842732,322,25.575853852263702
low,4,"(85.823, 96.093]",85.823,96.093,90.958,117,9.293089753772836,439,34.86894360603654
low,5,"(96.093, 106.362]",96.093,106.362,101.22749999999999,157,12.470214455917395,596,47.33915806195393
low,6,"(106.362, 116.632]",106.362,116.632,111.497,234,18.586179507545673,830,65.9253375694996
low,7,"(116.632, 126.902]",116.632,126.902,121.767,127,10.087370929308975,957,76.01270849880858
low,8,"(126.902, 137.171]",126.902,137.171,132.0365,65,5.162827640984909,1022,81.1755361397935
low,9,"(137.171, 147.441]",137.171,147.441,142.30599999999998,72,5.718824463860207,1094,86.8943606036537
low,10,"(147.441, 157.711]",147.441,157.711,152.57600000000002,69,5.480540111199365,1163,92.37490071485306
low,11,"(157.711, 167.98]",157.711,167.98,162.84550000000002,41,3.2565528196981735,1204,95.63145353455123
low,12,"(167.98, 178.25]",167.98,178.25,173.115,55,4.368546465448769,1259,100.0
close,1,"(55.789, 66.079]",55.789,66.079,60.934,119,9.451945988880063,119,9.451945988880063
close,2,"(66.079, 76.368]",66.079,76.368,71.2235,128,10.16679904686259,247,19.618745035742652
close,3,"(76.368, 86.657]",76.368,86.657,81.51249999999999,76,6.036536934074663,323,25.655281969817317
close,4,"(86.657, 96.947]",86.657,96.947,91.80199999999999,112,8.895949166004765,435,34.55123113582208
close,5,"(96.947, 107.236]",96.947,107.236,102.0915,156,12.390786338363782,591,46.94201747418586
close,6,"(107.236, 117.525]",107.236,117.525,112.38050000000001,237,18.824463860206514,828,65.76648133439238
close,7,"(117.525, 127.814]",117.525,127.814,122.6695,129,10.246227164416204,957,76.01270849880859
close,8,"(127.814, 138.103]",127.814,138.103,132.95850000000002,64,5.083399523431295,1021,81.09610802223989
close,9,"(138.103, 148.392]",138.103,148.392,143.2475,69,5.480540111199365,1090,86.57664813343925
close,10,"(148.392, 158.682]",148.392,158.682,153.53699999999998,74,5.877680698967434,1164,92.45432883240669
close,11,"(158.682, 168.971]",158.682,168.971,163.8265,37,2.938840349483717,1201,95.3931691818904
close,12,"(168.971, 179.26]",168.971,179.26,174.1155,58,4.606830818109611,1259,100.00000000000001
volume,1,"(11475921.999, 32755726.917]",11475921.999,32755726.917,22115824.458,382,30.341540905480542,382,30.341540905480542
volume,2,"(32755726.917, 54035531.833]",32755726.917,54035531.833,43395629.375,395,31.37410643367752,777,61.71564733915807
volume,3,"(54035531.833, 75315336.75]",54035531.833,75315336.75,64675434.2915,234,18.586179507545673,1011,80.30182684670373
volume,4,"(75315336.75, 96595141.667]",75315336.75,96595141.667,85955239.2085,125,9.928514694201747,1136,90.23034154090548
volume,5,"(96595141.667, 117874946.583]",96595141.667,117874946.583,107235044.125,59,4.686258935663225,1195,94.9166004765687
volume,6,"(117874946.583, 139154751.5]",117874946.583,139154751.5,128514849.0415,28,2.2239872915011913,1223,97.14058776806989
volume,7,"(139154751.5, 160434556.417]",139154751.5,160434556.417,149794653.9585,16,1.2708498808578237,1239,98.41143764892772
volume,8,"(160434556.417, 181714361.333]",160434556.417,181714361.333,171074458.875,8,0.6354249404289118,1247,99.04686258935662
volume,9,"(181714361.333, 202994166.25]",181714361.333,202994166.25,192354263.7915,7,0.5559968228752978,1254,99.60285941223192
volume,10,"(202994166.25, 224273971.167]",202994166.25,224273971.167,213634068.7085,2,0.15885623510722796,1256,99.76171564733914
volume,11,"(224273971.167, 245553776.083]",224273971.167,245553776.083,234913873.625,2,0.15885623510722796,1258,99.92057188244637
